Project ID,Class,Requirement
61,NSR,'The system shall be a simple and attractive website with a clear presentation of elements. '
1190,NSR,'The service shall integrate with third-party SIEM platforms via webhooks.'
2099,SR,'The agent will obtain and record user consent before collecting transaction.'
1985,SR,'The service should enforce data retention policies by automatically purging sensitive records after 6 months to protect against unauthorized access.'
1130,NSR,'The software will operate efficiently on systems with as little as 256GB of available RAM.'
772,SR,'The module will store user passwords using bcrypt hashing with unique salts to ensure confidentiality and integrity of sensitive data.'
1422,SR,'The component must detect SSL/TLS misconfigurations and expired certificates in target systems using industry-standard cryptographic techniques.'
343,NSR,"'""A Controlling Authority is responsible for Providing load file data block signatures according to its own security policy for integrity and source authenticity.""'"
786,SR,'The module will verify the authenticity of video files by checking its embedded watermark to ensure confidentiality and integrity of sensitive data.'
1378,SR,'The framework should encrypt all financial data using 3DES encryption.'
1299,NSR,'The platform will allow users to view the history of previously submitted queries.'
1103,NSR,'The dashboard shall display real-time analysis status updates without requiring page refresh.'
1520,SR,'The system will implement behavioural biometrics to prevent unauthorized access.'
1490,NSR,'The software must allow administrators to generate activity reports filtered by project.'
2228,NSR,'The system shall provide a role management interface for assigning permissions to user groups.'
1271,NSR,'The service will consume no more than 99.9% of available CPU resources during idle monitoring.'
1044,NSR,'The interface must consume no more than 5% of available CPU resources during idle monitoring.'
992,NSR,'The interface should include comprehensive inline code documentation and API documentation.'
1495,SR,'The agent shall detect outdated or vulnerable third-party libraries in analyzed applications as part of the defence-in-depth security strategy.'
572,NSR,'Since these transactions are on-line to the issuer  the issuer has the opportunity to lock the card or the application. These transactions are not available to a card that has already been locked'
19,SR,'The system shall ensure encryption of data during transmission. '
2811,SR,'The software shall identify and classify ransomware samples based on behavioral signatures to prevent exploitation by malicious actors.'
61,NSR,"'The system shall allow the doctors to download, decrypt and decompress the images. '"
1164,SR,'The module should verify the integrity of authentication using cryptographic checksums to protect against unauthorized access.'
1368,SR,'The application should detect duplicate submissions of watermarked video files by different authors.'
2029,SR,'The framework shall detect distributed denial-of-service (DDoS) attack patterns in traffic to protect against unauthorized access.'
1442,SR,'The framework must enforce the principle of least privilege across all user roles in order to maintain system integrity.'
611,NSR,'Load devices that are available to the general public should support multiple sources of funding and support both linked and unlinked loads'
2575,SR,'The software shall maintain a tamper-evident audit log of all login events.'
1554,SR,'The application should automatically generate detailed reports of detected CSRF vulnerabilities to prevent exploitation by malicious actors.'
503,NSR,'The load device sends S1 in an authorization request to the issuer'
641,NSR,'The service will backup critical audit data every monthly to a secure offsite location.'
1484,NSR,'The tool will be accessible to users with disabilities by adhering to WCAG 2.1 guidelines.'
1431,NSR,'The dashboard will maintain backward compatibility with previous versions of the API.'
2839,SR,'The module should be easily updatable with security patches without disrupting service to ensure confidentiality and integrity of sensitive data.'
631,SR,'The application must encrypt data at rest using 3DES to protect against unauthorized access to ensure confidentiality and integrity of sensitive data.'
93,SR,'The system shall offer confidentiality through encryption with AES. '
224,SR,'A CND  as defined in clause 3  may use the CNG to access NGN services.'
1688,SR,'The application should scan submitted code for insecure deserialization security flaws.'
1269,SR,'The framework shall identify and classify worms samples based on behavioral signatures to ensure confidentiality and integrity of sensitive data.'
1663,SR,'The platform will detect man-in-the-middle attacks through certificate validation monitoring using industry-standard cryptographic techniques.'
1516,SR,'The platform must detect polymorphic and obfuscated worms variants to protect against unauthorized access.'
35,NSR,"'The system shall be able to create and enforce secure coding practices throughout the development by strictly identifying the originator of the data that is required, recognizing the data items and data structures that are necessary for exchange.  '"
1030,NSR,"'The tool will ensure the system can process samples reliably across all supported test, staging, and production environments.'"
1479,SR,'The agent shall detect anomalous network traffic patterns indicative of keyloggers activity.'
647,NSR,'The platform shall consume no more than 90% of available CPU resources during idle monitoring.'
2273,SR,'The component should validate input sanitization to prevent broken authentication injection attacks in accordance with the security policy.'
1607,SR,'The framework shall enforce the principle of least privilege across all user roles in accordance with the security policy.'
356,SR,'The OPEN shall Check application access rules according to the Applications' privileges'
124,NSR,'On receipt of a valid (i.e. authorized) request for data stored in the CNG the CNG shall return the requested data to the requesting user.'
1287,SR,'The agent shall detect port scanning activity originating from rogue nodes on the network to protect against unauthorized access.'
1055,SR,'The application shall use TLS 1.3 or higher for all network communications.'
927,NSR,"'The platform shall allow administrators to create, read, update, and delete user accounts.'"
448,NSR,'If a full or partial match is found and this Application is in the Life Cycle State INSTALLED  continue searching through the GlobalPlatform Registry for a subsequent full or partial match. If no subsequent full or partial match is found  the OPEN shall return the appropriate error to the off-card entity'
940,SR,'The system should store user passwords using SHA-256 hashing with unique salts as part of the defence-in-depth security strategy.'
1396,SR,'The module should verify the authenticity of PDF documents by checking its embedded watermark.'
912,SR,'The platform shall be easily updatable with security patches without disrupting service in order to maintain system integrity.'
853,NSR,'The software should generate automated summary emails of daily analysis activities.'
3,SR,'The system shall allow secure uploaded files using AES algorithm with a 256-bit key. '
76,SR,'The system shall be able to show clients KYC information to authorised users. '
1368,NSR,'The interface shall provide administrators with a configurable dashboard for system management.'
652,SR,'The component must monitor file system changes to detect ransomware encryption activity to ensure compliance with security best practices.'
910,SR,'The agent shall enforce hardware token authentication before granting access to protected resources using industry-standard cryptographic techniques.'
88,SR,'The system shall provide Two Factor Authentication. '
720,NSR,"'The dashboard must allow users to register an account by providing their username, email address, and contact number.'"
1013,SR,"'The software shall enforce password complexity requirements including numbers, symbols, and mixed case letters in accordance with the security policy.'"
200,NSR,'The CNG shall be able to classify intra-LAN traffic that is simply bridged by the CNG itself within the CPN.'
38,NSR,'The system shall monitor and scan host '
1894,NSR,'The system should support installation via yum package manager.'
58,SR,'The system shall be able to allow the user to generate their ECC public and private keys.  These keys are to be used for the encryption of the AES encryption key and also for PDP. '
1587,NSR,'The platform must allow users to schedule automated analysis at configured intervals.'
986,SR,'The application shall integrate with existing SIEM systems for centralized security monitoring as part of the defence-in-depth security strategy.'
692,NSR,'The interface shall implement graceful degradation so critical functions remain available during partial failures.'
150,SR,'The CNG shall allow the customer remote access to a CND in the Customer Network  for example a surveillance video camera.'
763,SR,'The framework must prevent unauthorized access to sensitive session through access controls to prevent exploitation by malicious actors.'
548,NSR,'The CEP card sends a response to the reversal command to the POS device. The reversal is considered to be successful even in the event of a negative response or no response from the CEP card'
60,NSR,'The interface will have to satisfy these objectives or requirements on any device and platform. '
1925,NSR,'The software must run on any system that has Node.js version 14 or later installed.'
47,SR,"'The system functions as an IDS/IPD and aids in relieving traffic targeting the server, in the event that a distributed DOS attack occurs and the server is flooded with the requests and is therefore unable to provide its usual service(s) to the client. '"
97,NSR,'The system shall enable real-time responds to agents and users. '
1789,NSR,'The portal will provide a simple three-step workflow for file submission tasks.'
63,NSR,'The system shall allow a user to push warning script to the rogue node.'
2355,SR,'The component shall scan submitted code for SQL Injection security flaws in accordance with the security policy.'
35,NSR,"'The system shall ensure that the exchange of data is between mobile and web-based application software, humans and combinations of these. '"
1213,NSR,'The interface shall minimize latency in real-time monitoring mode to under 5 milliseconds.'
932,NSR,'The module should require no platform-specific dependencies outside of the documented prerequisites.'
44,SR,'The system should be able to identify and trap user input error '
2064,NSR,'The portal must generate structured logs in CEF (Common Event Format) format for consumption by log aggregators.'
3,NSR,"'Upon registration, the system must generate a shared encryption key. '"
910,SR,'The software shall block network communication from hosts identified as compromised to prevent exploitation by malicious actors.'
99,NSR,'The system shall not experience slowdowns during input/output and computationally intensive tasks such as encryption and embedding or extraction. '
1563,NSR,'The tool shall expose a well-documented RESTful API to enable third-party integrations.'
1160,SR,'The system must limit login attempts to 3 consecutive failures before locking the account to ensure confidentiality and integrity of sensitive data.'
785,SR,'The application shall enforce two-factor authentication (2FA) before granting access to protected resources to prevent exploitation by malicious actors.'
2025,SR,'The tool should detect distributed denial-of-service (DDoS) attack patterns in traffic to ensure confidentiality and integrity of sensitive data.'
1935,SR,"'The component should classify identified vulnerabilities by severity level (critical, high, medium, low) in order to maintain system integrity.'"
1229,NSR,'The system must achieve a detection accuracy of at least 0.1% on requests.'
2306,SR,'The software will apply a visible digital watermark to audio files upon author submission.'
93,SR,'The system shall  encrypt and decrypt files using a wireless connection. '
1093,SR,'The component should analyze Android applications behavior in an isolated sandbox environment.'
62,NSR,"'The system shall allow local Law Enforcement Agencies to track cases, location of reporter, receive crimes reported based on the reporters current location. '"
1026,SR,'The platform shall detect and block connections to known malicious IP addresses and domains using industry-standard cryptographic techniques.'
1495,NSR,'The application must generate detailed reports of scanning results in XML format.'
2228,SR,'The platform should detect SSL/TLS misconfigurations and expired certificates in target systems in order to maintain system integrity.'
942,NSR,'The module should provide a centralized logging framework for debugging and system monitoring.'
714,SR,'The service should verify digital signatures before processing received data.'
1053,SR,'The agent will detect duplicate submissions of watermarked PDF documents by different authors to ensure compliance with security best practices.'
77,NSR,"'The system shall allow capturing of stand details such as location, district, ward and stand number. '"
699,SR,'The agent must identify unauthorized network devices connected to the internal network to ensure confidentiality and integrity of sensitive data.'
876,NSR,'The platform should allow multiple users to collaborate on authentication within a shared workspace.'
1988,NSR,'The system must display progress indicators during long-running analysis operations.'
1520,SR,'The tool will detect cryptojacking activity by monitoring CPU usage and network connections.'
1816,NSR,'The portal should have a clean and intuitive interface that requires minimal training to operate.'
1316,SR,'The software shall verify the authenticity of images by checking its embedded watermark to mitigate the risk of data breaches.'
1033,SR,'The application shall enforce role-based access control to restrict user permissions in accordance with the security policy.'
2281,SR,'The module shall implement hardware token authentication to prevent unauthorized access as part of the defence-in-depth security strategy.'
1226,NSR,'The module must display real-time authentication status updates without requiring page refresh.'
1095,SR,'The agent should classify detected cryptomining malware into known malware families.'
1850,NSR,'The dashboard will maintain performance under peak load conditions of 5 simultaneous users.'
3,NSR,'The system shall allow the user to upload and download stored files. '
848,NSR,'The module should include comprehensive inline code documentation and API documentation.'
842,SR,'The service should validate user credentials against the active directory before allowing access to mitigate the risk of data breaches.'
25,NSR,'The system shall display interfaces describing operations performed during processes '
1326,SR,'The software will identify command-and-control (C2) communication patterns in network traffic.'
1568,SR,'The component will enforce network segmentation policies to limit lateral movement using industry-standard cryptographic techniques.'
1577,SR,'The component must perform regular automated vulnerability scans against the deployed application to mitigate the risk of data breaches.'
2402,NSR,"'The interface will allow administrators to create, read, update, and delete user accounts.'"
1097,SR,'The agent shall detect anomalous network traffic patterns indicative of worms activity as part of the defence-in-depth security strategy.'
1000,SR,"'The service shall classify identified vulnerabilities by severity level (critical, high, medium, low) to mitigate the risk of data breaches.'"
49,NSR,'The system player shall locate and retrieve required contents from the hidden folder. '
453,NSR,'In the eventuality that the current Application Session has been terminated and no subsequent full or partial match is found  the OPEN shall make an attempt to select the Application that is marked as implicitly selectable on the Basic Logical Channel for the current card interface.'
1174,NSR,'The module should adhere to SOLID design principles to minimize coupling between components.'
2321,SR,'The agent must store user passwords using SHA-3 hashing with unique salts to mitigate the risk of data breaches.'
2071,NSR,'The application will support import of threat intelligence feeds in CSV format.'
1602,NSR,'The portal should operate efficiently on systems with as little as 1024GB of available RAM.'
44,NSR,'The system should allow quick and flexible means of entering information for processing and GUI based on Windows architecture should be employed.'
725,NSR,'The interface must support redundant database configurations to prevent data loss.'
1507,SR,'The agent shall anonymize personally identifiable information before transmission to ensure confidentiality and integrity of sensitive data.'
972,SR,'The tool should monitor HTTP(S) network traffic to detect security anomalies to ensure compliance with security best practices.'
827,NSR,'The tool should allow export of analysis results to PDF format for offline review.'
1402,NSR,'The interface should provide keyboard shortcuts for frequently used operations.'
2974,SR,'The module must comply with PCI-DSS data protection requirements.'
17,SR,'The system shall make it easy to trace an individuals activities after a crime has taken place.'
15,SR,'The system shall be easy to maintain since the application has a clear separation of its database and logic code making it easy to sandbox the system and maintain it without affecting the whole system. '
1063,NSR,'The module must display results in both tabular and graphical chart formats.'
2129,NSR,'The software will function correctly on both 32-bit and 64-bit system architectures.'
1546,NSR,'The application should provide administrators with a configurable dashboard for system management.'
816,NSR,'The application should support virtualized environments including VMware and Hyper-V.'
2818,NSR,'The service shall generate structured logs in LEEF format for consumption by log aggregators.'
3093,NSR,'The software must generate automated summary emails of daily authentication activities.'
2756,SR,'The application shall implement biometric authentication to prevent unauthorized access.'
813,NSR,'The portal shall display progress indicators during long-running analysis operations.'
108,SR,'The CNG shall detect the end of the life of the key used for cryptographic protection of the wireless communication between the CND and the CNG.'
600,NSR,'Load and unload functions must be authenticated using end-to-end security between the card and the card issuer'
1356,SR,'The agent shall identify and report XML injection injection points in target applications as part of the defence-in-depth security strategy.'
1063,SR,'The application must extract and verify digital watermarks from submitted images as part of the defence-in-depth security strategy.'
577,NSR,'Unload and currency exchange transactions are optional for CEP card issuers. The CEP card must indicate whether the card issuer supports these transactions. However  if a card issuer issues multi-currency capable cards  it must provide its cardholder with a facility to remove any remaining value. As a result  if a card issuer supports loading of multiple currencies onto a card  then it must support the unload or currency exchange transaction or both'
1645,NSR,'The system will have a clean and intuitive interface that requires minimal training to operate.'
709,NSR,'The application should operate efficiently on systems with as little as 1024GB of available RAM.'
10,NSR,"'The system-+ shall be able to collect and analyse data that the child is typing and if it captures certain keywords or a continuous sequence of expletives, it should send an alert through text to the parents smartphone. '"
626,NSR,'The tool will adhere to SOLID design principles to minimize coupling between components.'
1882,NSR,'The system will follow clean code principles and established design patterns for maintainability.'
1903,NSR,'The dashboard should support pagination for large result sets to maintain performance.'
626,SR,'The platform must detect polymorphic and obfuscated cryptomining malware variants.'
1159,SR,'The software shall correlate network events against threat intelligence blacklists using industry-standard cryptographic techniques.'
617,SR,'The software should detect port scanning activity originating from rogue nodes on the network.'
1570,SR,'The application must store user passwords using SHA-3 hashing with unique salts.'
2814,NSR,'The portal will expose a well-documented RESTful API to enable third-party integrations.'
1550,NSR,'The software should allow users to schedule automated analysis at configured intervals.'
1138,NSR,'The dashboard will complete database queries in under 3 milliseconds for datasets of up to 500 records.'
1984,NSR,'The system must integrate with third-party ticketing platforms via RESTful API.'
1247,SR,'The component should monitor DNS queries to detect data exfiltration and domain generation algorithms in accordance with the security policy.'
1410,NSR,'The system must present scan results in a clear and easy-to-understand format.'
895,SR,'The platform should verify digital signatures before processing received data to ensure confidentiality and integrity of sensitive data.'
675,SR,'The platform should detect distributed denial-of-service (DDoS) attack patterns in traffic.'
1737,SR,'The software must generate integrity reports for confidential stored in the system in order to maintain system integrity.'
2483,SR,'The tool must detect and block connections to known malicious IP addresses and domains in accordance with the security policy.'
1249,NSR,'The software shall generate detailed reports of scanning results in XML format.'
1610,NSR,'The platform shall generate automated summary emails of daily analysis activities.'
1544,NSR,'The tool must offer a dark mode option in addition to the default light theme.'
2386,SR,'The service will prevent unauthorized access to sensitive transaction through access controls using industry-standard cryptographic techniques.'
1480,SR,'The software should enforce role-based access control to restrict user permissions to ensure confidentiality and integrity of sensitive data.'
31,NSR,'The proposed system should be able to extract raw data from Twitter in real time. '
2083,NSR,'The system should provide a cross-platform command-line interface in addition to the GUI.'
1685,NSR,'The dashboard will support plugin-based architecture to allow new detection modules to be added.'
1511,SR,'The module shall automatically log out inactive sessions after 10 minutes of inactivity as part of the defence-in-depth security strategy.'
1531,SR,'The service will allow for safe fail-secure behavior whenever a security fault is detected in accordance with the security policy.'
2535,NSR,'The system will expose a well-documented RESTful API to enable third-party integrations.'
9,SR,'The system shall allow high availability of the application whenever the user needs it so a recovery module will be set in case of loss of the mobile phone. '
26,SR,'The system user with privileges should input password and be able to log into the system.'
2007,SR,'The component must mask sensitive session fields in logs and reports as part of the defence-in-depth security strategy.'
731,NSR,'The platform will ensure the system can process tasks reliably across all supported Windows and Linux environments.'
646,SR,'The service shall detect duplicate submissions of watermarked audio files by different authors in order to maintain system integrity.'
706,SR,'The software must encrypt data at rest using ChaCha20-Poly1305 to protect against unauthorized access to protect against unauthorized access.'
1248,NSR,'The portal should implement transaction rollbacks to maintain data consistency during failures.'
1452,NSR,'The dashboard will follow clean code principles and established design patterns for maintainability.'
2291,SR,'The application will capture and analyze TCP/IP packets for signs of malicious activity to prevent exploitation by malicious actors.'
910,SR,'The application shall comply with ISO 27001 data protection requirements in order to maintain system integrity.'
3027,SR,'The platform will generate integrity reports for session stored in the system to mitigate the risk of data breaches.'
1358,SR,'The system should enforce password complexity requirements including at least 12 characters with complexity rules in order to maintain system integrity.'
832,NSR,'The dashboard must generate detailed reports of monitoring results in CSV format.'
1293,SR,'The component will verify the authenticity of documents by checking its embedded watermark to ensure confidentiality and integrity of sensitive data.'
54,SR,'The system shall capture network traffic between the hypervisor and the subject/monitored virtual machine. '
1947,NSR,'The dashboard shall support concurrent analysis of up to 5 simultaneous scans without degradation.'
2854,SR,'The software should alert on connections to known cryptocurrency mining pool endpoints.'
2305,NSR,'The service shall minimize latency in real-time monitoring mode to under 24 milliseconds.'
1139,SR,'The module should extract and verify digital watermarks from submitted video files using industry-standard cryptographic techniques.'
233,NSR,'The CND shall support the NGN services usage (e.g. voice communications  video communications  IPTV  entertainment  etc.) allowing the connection to the right service control platforms to process the media.'
1265,NSR,'The platform shall present scan results in a clear and easy-to-understand format.'
79,NSR,'The system log data shall be maintained without burdening the users. '
756,NSR,'The module must allow users to filter and search through incident records efficiently.'
28,NSR,'The system shall provide a common API for health information systems to update and read records. '
2036,SR,'The software will verify server certificates before establishing SFTP connections to protect against unauthorized access.'
1351,SR,'The service will comply with HIPAA data protection requirements to ensure compliance with security best practices.'
20,NSR,'The system shall allow the user to extract the Registration Number '
930,NSR,'The service will provide a role management interface for assigning permissions to user groups.'
710,SR,'The software must extract and verify digital watermarks from submitted audio files.'
1837,NSR,'The system must allow users to view the history of previously submitted queries.'
666,NSR,'The dashboard must provide contextual help tooltips and user documentation throughout the interface.'
1247,NSR,'The module shall provide a simple three-step workflow for account management tasks.'
2101,SR,'The tool will identify command-and-control (C2) communication patterns in network traffic.'
947,SR,'The agent should detect SSRF vulnerabilities in submitted web applications in order to maintain system integrity.'
1131,NSR,'The tool should support bulk submission of requests for batch malware analysis processing.'
1345,SR,'The agent shall encrypt data at rest using AES-256 to protect against unauthorized access.'
1519,SR,'The module must invalidate session tokens upon logout to prevent session hijacking to prevent exploitation by malicious actors.'
1415,SR,'The application will authenticate users using PIN-based authentication.'
1333,NSR,'The tool will integrate with third-party cloud storage platforms via webhooks.'
14,NSR,"'The system should be easy to use, even by general users, with a user-friendly interface.  '"
1718,SR,'The agent must use asymmetric encryption (Ed25519) for secure key exchange to ensure confidentiality and integrity of sensitive data.'
2248,NSR,'The service will integrate with third-party SIEM platforms via OAuth 2.0.'
1019,SR,"'The software must classify identified vulnerabilities by severity level (critical, high, medium, low) to protect against unauthorized access.'"
1143,SR,'The service should detect path traversal vulnerabilities in submitted web applications.'
2449,SR,'The platform should generate integrity reports for sensitive stored in the system in accordance with the security policy.'
30,SR,'System modules will be loosely coupled to allow for easy maintainability when used by the users. '
683,NSR,'The system should allow users to view the history of previously submitted queries.'
793,SR,'The system must implement certificate pinning to prevent XSS (Cross-Site Scripting) attacks as part of the defence-in-depth security strategy.'
2863,SR,'The framework will require users to change default passwords upon first login using industry-standard cryptographic techniques.'
1459,NSR,'The service should achieve a throughput of at least 500 samples per hour in production.'
1776,NSR,'The service must include rollback capabilities to revert to a previous stable version if needed.'
1452,NSR,'The software will provide a disaster recovery plan with a recovery time objective of 2 hours.'
2122,NSR,'The dashboard shall allow users to annotate and comment on authentication findings for team collaboration.'
1265,SR,'The component should implement certificate pinning to prevent format string attacks to prevent exploitation by malicious actors.'
1921,SR,'The software must prevent downgrade attacks by enforcing minimum IPSec version requirements as part of the defence-in-depth security strategy.'
35,SR,'The system shall resist unofficial and unlawful usage even the action is by accident or intended. '
980,NSR,'The application shall include comprehensive inline code documentation and API documentation.'
85,SR,"'The system shall be maintainable as it can be integrated with other systems easily, can be modified or have its components reused on other platforms.'"
44,SR,'The system should have the ability to validate entered data hence reducing redundancy and duplication in the database. '
1498,NSR,'The tool will maintain backward compatibility with previous versions of the API.'
1411,NSR,'The interface should achieve a throughput of at least 20 samples per hour in production.'
1264,SR,'The software will maintain a tamper-evident audit log of all security events to prevent exploitation by malicious actors.'
2467,NSR,'The dashboard must support import of threat intelligence feeds in XML format.'
1479,NSR,'The application must present scan results in a clear and easy-to-understand format.'
1530,NSR,'The interface must be deployable on Ubuntu 20.04 and later operating systems without modification.'
89,NSR,'The system shall  show warning to users. '
979,SR,'The component shall invalidate session tokens upon logout to prevent session hijacking.'
2231,NSR,'The system should be packaged as a desktop installer for simple installation on supported platforms.'
18,SR,'The system should keep history of the transactions in a secure database. '
80,SR,'The system shall allow the administrator to log in to access the system. '
777,SR,'The application should generate cryptographically secure session tokens for each authenticated user using industry-standard cryptographic techniques.'
1087,SR,'The framework shall verify the integrity of session using cryptographic checksums to prevent exploitation by malicious actors.'
657,NSR,'The software shall maintain backward compatibility with previous versions of the API.'
1282,SR,'The agent will limit login attempts to 3 consecutive failures before locking the account in accordance with the security policy.'
1164,SR,'The component must use AES-128 with a 128-bit key to protect stored authentication to mitigate the risk of data breaches.'
21,NSR,'The system shall provide a user-friendly interface that can be used by auditors without any technical challenges '
720,SR,'The software will analyze HTTP requests and responses to detect SSRF attack patterns.'
1981,SR,'The framework shall monitor TLS network traffic to detect security anomalies to prevent exploitation by malicious actors.'
1369,SR,'The agent should generate integrity reports for transaction stored in the system as part of the defence-in-depth security strategy.'
2095,SR,'The module shall implement account lockout mechanisms after repeated failed login attempts to mitigate the risk of data breaches.'
1214,SR,'The software must test for broken authentication and session management vulnerabilities.'
1712,NSR,'The module should provide a notification system that alerts users when reporting is complete.'
1402,SR,'The application must implement account lockout mechanisms after repeated failed login attempts to mitigate the risk of data breaches.'
1208,NSR,'The software will support concurrent analysis of up to 20 simultaneous scans without degradation.'
1963,NSR,'The module will complete database queries in under 500 milliseconds for datasets of up to 1000 records.'
1800,SR,'The software shall automatically log out inactive sessions after 30 minutes of inactivity to ensure confidentiality and integrity of sensitive data.'
1263,SR,'The system will generate and rotate encryption keys every 90 days to minimize key exposure in order to maintain system integrity.'
1160,SR,'The agent will log all network security events with timestamps for forensic analysis in accordance with the security policy.'
1328,NSR,'The tool should minimize latency in real-time monitoring mode to under 2 milliseconds.'
648,SR,'The agent will prevent downgrade attacks by enforcing minimum IPSec version requirements to protect against unauthorized access.'
1374,NSR,'The tool shall allow export of analysis results to HTML format for offline review.'
1362,SR,'The framework must validate input sanitization to prevent path traversal injection attacks in accordance with the security policy.'
1582,NSR,'The service must generate analysis reports in under 500 seconds for typical applications.'
570,NSR,'Off-line PIN verification must include both encrypted and unencrypted PIN'
1376,NSR,'The software shall allow administrators to configure detection thresholds without modifying source code.'
1409,NSR,'The system must support redundant database configurations to prevent data loss.'
1526,NSR,'The tool should support concurrent analysis of up to 100 simultaneous queries without degradation.'
1683,NSR,'The system must support automated unit and integration testing with a code coverage target of 95%.'
974,SR,'The tool will perform static analysis to identify potential SQL Injection vulnerabilities using industry-standard cryptographic techniques.'
87,SR,'The system shall allow a user to log into his or her own account providing his or her own email address and password. '
1457,SR,'The software will obtain and record user consent before collecting user to ensure confidentiality and integrity of sensitive data.'
848,SR,'The application will detect outdated or vulnerable third-party libraries in analyzed applications to mitigate the risk of data breaches.'
1877,NSR,'The system shall allow users to view the history of previously submitted scans.'
2384,SR,'The component shall verify server certificates before establishing HTTPS connections to prevent exploitation by malicious actors.'
1486,NSR,'The tool will process submitted scans within 200 seconds under normal load conditions.'
888,SR,'The framework shall embed an invisible digital watermark into documents to protect ownership.'
86,SR,'The system shall enable password changing in a specified time.'
1070,SR,'The module must detect cryptojacking activity by monitoring CPU usage and network connections as part of the defence-in-depth security strategy.'
999,NSR,'The tool will allow users to view the history of previously submitted scans.'
1889,NSR,'The software must support Portuguese language localization for international users.'
681,SR,'The software should apply a visible digital watermark to images upon author submission to ensure confidentiality and integrity of sensitive data.'
1641,NSR,'The module will use less than 8MB of RAM during standard operation.'
1335,SR,'The platform should capture and analyze HTTPS and TLS packets for signs of malicious activity to ensure confidentiality and integrity of sensitive data.'
1822,SR,'The tool must embed an invisible digital watermark into audio files to protect ownership using industry-standard cryptographic techniques.'
1636,SR,'The service must use asymmetric encryption (RSA-2048) for secure key exchange to ensure compliance with security best practices.'
888,SR,'The application will obtain and record user consent before collecting medical to prevent exploitation by malicious actors.'
99,SR,'The system shall ensure that the public key is left open and accessible to the public domain. '
398,NSR,'At OP_READY state  the OPEN shall be available and ready for execution'
1144,NSR,'The application should have a clean and intuitive interface that requires minimal training to operate.'
1073,NSR,'The module will support pagination for large result sets to maintain performance.'
1737,NSR,'The software will be deployable on Ubuntu 20.04 and later operating systems without modification.'
1716,SR,'The component will automatically generate detailed reports of detected CSRF vulnerabilities to mitigate the risk of data breaches.'
1799,SR,'The service must verify server certificates before establishing TLS connections to ensure compliance with security best practices.'
312,SR,'The CND directly or through the CNG must be able to access to Network Configuration Service Function avoiding any user interaction. (and so the Network Configuration Server should be able to upload different parameter related to service subscription).'
991,SR,'The component must require LDAP authentication for all administrative operations using industry-standard cryptographic techniques.'
1403,NSR,'The dashboard will implement transaction rollbacks to maintain data consistency during failures.'
1333,NSR,'The platform shall minimize latency in real-time monitoring mode to under 2 milliseconds.'
1468,NSR,'The interface should support import of threat intelligence feeds in HTML format.'
1335,SR,'The software shall detect the presence of cryptomining malware in submitted scripts using industry-standard cryptographic techniques.'
978,SR,'The system should require hardware token authentication for all administrative operations using industry-standard cryptographic techniques.'
772,SR,'The module must identify and classify ransomware samples based on behavioral signatures using industry-standard cryptographic techniques.'
883,SR,'The application shall alert administrators when spyware activity is detected in real time as part of the defence-in-depth security strategy.'
1076,NSR,'The interface shall scale horizontally to handle increased requests volume without reconfiguration.'
454,NSR,'At any time during a Card Session the OPEN may receive a request on the Basic Logical Channel to either open or close a Supplementary Logical Channel.'
1397,SR,'The component shall monitor system calls to detect keyloggers activity at runtime as part of the defence-in-depth security strategy.'
1027,NSR,'The module shall allow users to view the history of previously submitted scans.'
2453,SR,'The application should identify and classify rootkits samples based on behavioral signatures in accordance with the security policy.'
897,SR,'The agent will identify and report buffer overflow injection points in target applications.'
786,SR,'The agent should invalidate session tokens upon logout to prevent session hijacking to prevent exploitation by malicious actors.'
1952,SR,'The tool must identify open ports and running services on the target network to ensure confidentiality and integrity of sensitive data.'
54,SR,"'The Intrusion Detection module will be based on a tried and tested architecture and the same will apply to the memory acquisition tool,  to avoid violating the proper coding principles as well as best practices for documentation. ''"
2196,NSR,'The module will support automated unit and integration testing with a code coverage target of 85%.'
727,NSR,'The dashboard should perform automated health checks every 60 seconds and alert on anomalies.'
86,SR,'The system server shall generate the TOTP value that lasts for the specified amount of time. '
2099,NSR,'The portal will maintain a consistent visual design across all screens and modules.'
1170,NSR,'The service should provide a disaster recovery plan with a recovery time objective of 15 hours.'
938,SR,'The platform must generate cryptographically secure session tokens for each authenticated user to prevent exploitation by malicious actors.'
21,SR,'The system shall allow log capture to be a background process making the auditors job much easier. '
622,NSR,'The service shall generate automated summary emails of daily vulnerability assessment activities.'
972,NSR,'The software will present a summary dashboard showing key detection metrics at a glance.'
1379,NSR,'The dashboard will support import of threat intelligence feeds in PDF format.'
2152,NSR,'The dashboard shall complete database queries in under 200 milliseconds for datasets of up to 20 records.'
1361,NSR,'The module shall support redundant database configurations to prevent data loss.'
1042,NSR,'The system should allow export of scan findings to CSV for integration with ticketing systems.'
1980,SR,'The agent will store user passwords using bcrypt hashing with unique salts using industry-standard cryptographic techniques.'
1136,SR,'The platform shall detect cryptojacking activity by monitoring CPU usage and network connections as part of the defence-in-depth security strategy.'
1764,NSR,'The dashboard shall log all system errors with sufficient context for post-incident analysis.'
1368,SR,'The agent will generate integrity reports for confidential stored in the system to protect against unauthorized access.'
783,NSR,'The dashboard must allow users to annotate and comment on detection findings for team collaboration.'
104,NSR,'The system shall be able to extract raw data from Twitter in real-time. '
